iter	Passed	Remaining
441	1278	1613
442	1280	1610
443	1283	1607
444	1286	1604
445	1289	1601
446	1291	1598
447	1294	1594
448	1297	1591
449	1299	1588
450	1302	1585
451	1305	1582
452	1308	1579
453	1310	1576
454	1313	1573
455	1316	1570
456	1319	1567
457	1322	1564
458	1325	1562
459	1328	1558
460	1330	1555
461	1333	1552
462	1336	1549
463	1338	1546
464	1341	1543
465	1344	1540
466	1347	1537
467	1350	1534
468	1353	1531
469	1355	1529
470	1358	1526
471	1361	1523
472	1364	1520
473	1367	1517
474	1370	1514
475	1372	1511
476	1375	1508
477	1378	1505
478	1381	1502
479	1384	1499
480	1387	1496
481	1389	1493
482	1392	1490
483	1395	1487
484	1398	1484
485	1401	1481
486	1404	1479
487	1406	1476
488	1409	1473
489	1412	1470
490	1415	1467
491	1418	1464
492	1421	1461
493	1424	1458
494	1427	1455
495	1429	1452
496	1432	1449
497	1435	1447
498	1438	1443
499	1440	1440
500	1443	1438
501	1446	1435
502	1449	1432
503	1454	1430
504	1459	1430
505	1464	1429
506	1467	1427
507	1470	1423
508	1473	1420
509	1476	1418
510	1479	1415
511	1482	1412
512	1484	1409
513	1487	1406
514	1490	1403
515	1493	1400
516	1496	1397
517	1499	1394
518	1501	1391
519	1504	1388
520	1507	1385
521	1510	1382
522	1513	1379
523	1515	1377
524	1518	1374
525	1521	1371
526	1524	1368
527	1527	1365
528	1529	1362
529	1532	1359
530	1535	1356
531	1539	1354
532	1542	1351
533	1545	1348
534	1548	1345
535	1550	1342
536	1553	1339
537	1557	1337
538	1560	1334
539	1563	1331
540	1566	1328
541	1568	1325
542	1571	1322
543	1574	1319
544	1577	1316
545	1580	1313
546	1582	1310
547	1585	1307
548	1588	1304
549	1591	1301
550	1593	1298
551	1596	1295
552	1599	1292
553	1602	1289
554	1604	1286
555	1607	1283
556	1610	1280
557	1613	1277
558	1615	1274
559	1618	1271
560	1621	1268
561	1623	1265
562	1626	1262
563	1629	1259
564	1632	1256
565	1634	1253
566	1637	1250
567	1640	1247
568	1643	1244
569	1646	1241
570	1648	1238
571	1651	1235
572	1654	1232
573	1656	1229
574	1659	1226
575	1662	1223
576	1665	1220
577	1668	1217
578	1670	1214
579	1673	1211
580	1676	1208
581	1678	1205
582	1681	1202
583	1684	1199
584	1687	1196
585	1689	1193
586	1692	1190
587	1695	1187
588	1697	1184
589	1700	1181
590	1703	1178
591	1706	1175
592	1708	1172
593	1711	1169
594	1714	1167
595	1717	1164
596	1719	1160
597	1722	1157
598	1725	1154
599	1727	1151
600	1730	1148
601	1733	1145
602	1736	1143
603	1738	1140
604	1741	1137
605	1744	1134
606	1746	1131
607	1749	1128
608	1752	1125
609	1755	1122
610	1757	1119
611	1760	1116
612	1763	1113
613	1765	1110
614	1768	1107
615	1771	1104
616	1774	1101
617	1776	1098
618	1779	1095
619	1782	1092
620	1784	1089
621	1787	1086
622	1790	1083
623	1793	1080
624	1795	1077
625	1798	1074
626	1801	1071
627	1804	1068
628	1807	1065
629	1809	1062
630	1812	1059
631	1815	1056
632	1818	1054
633	1820	1051
634	1823	1048
635	1826	1045
636	1829	1042
637	1831	1039
638	1834	1036
639	1837	1033
640	1839	1030
641	1842	1027
642	1845	1024
643	1847	1021
644	1850	1018
645	1853	1015
646	1856	1012
647	1858	1009
648	1861	1006
649	1864	1003
650	1866	1000
651	1869	997
652	1872	994
653	1875	992
654	1877	989
655	1880	986
656	1883	983
657	1885	980
658	1888	977
659	1891	974
660	1894	971
661	1896	968
662	1899	965
663	1902	962
664	1905	959
665	1907	956
666	1910	953
667	1913	951
